5.598906	6.7167816	r[1, 3]	r[1, 4]	r[1, 5]	r[1, 6]	r[1, 7]	r[1, 8]	r[1, 9]	r[1, 10]	r[1, 11]	r[1, 12]	r[1, 13]	r[1, 14]	r[1, 15]	r[1, 16]	r[1, 17]	r[1, 18]	r[1, 19]	r[1, 20]	r[1, 21]	r[1, 22]	r[1, 23]	r[1, 24]	r[1, 25]	r[1, 26]	r[1, 27]	r[1, 28]	r[1, 29]	r[1, 30]	r[1, 31]
2.191515	5.7618463	6.7325328	r[2, 4]	r[2, 5]	r[2, 6]	r[2, 7]	r[2, 8]	r[2, 9]	r[2, 10]	r[2, 11]	r[2, 12]	r[2, 13]	r[2, 14]	r[2, 15]	r[2, 16]	r[2, 17]	r[2, 18]	r[2, 19]	r[2, 20]	r[2, 21]	r[2, 22]	r[2, 23]	r[2, 24]	r[2, 25]	r[2, 26]	r[2, 27]	r[2, 28]	r[2, 29]	r[2, 30]	r[2, 31]
1.116622	3.6434235	5.9272493	6.7502612	r[3, 5]	r[3, 6]	r[3, 7]	r[3, 8]	r[3, 9]	r[3, 10]	r[3, 11]	r[3, 12]	r[3, 13]	r[3, 14]	r[3, 15]	r[3, 16]	r[3, 17]	r[3, 18]	r[3, 19]	r[3, 20]	r[3, 21]	r[3, 22]	r[3, 23]	r[3, 24]	r[3, 25]	r[3, 26]	r[3, 27]	r[3, 28]	r[3, 29]	r[3, 30]	r[3, 31]
0.6471679	2.5712351	4.4654842	6.0776	6.7683394	r[4, 6]	r[4, 7]	r[4, 8]	r[4, 9]	r[4, 10]	r[4, 11]	r[4, 12]	r[4, 13]	r[4, 14]	r[4, 15]	r[4, 16]	r[4, 17]	r[4, 18]	r[4, 19]	r[4, 20]	r[4, 21]	r[4, 22]	r[4, 23]	r[4, 24]	r[4, 25]	r[4, 26]	r[4, 27]	r[4, 28]	r[4, 29]	r[4, 30]	r[4, 31]
0.41751171	1.8392963	3.5512112	5.0120416	6.209533	6.7859416	r[5, 7]	r[5, 8]	r[5, 9]	r[5, 10]	r[5, 11]	r[5, 12]	r[5, 13]	r[5, 14]	r[5, 15]	r[5, 16]	r[5, 17]	r[5, 18]	r[5, 19]	r[5, 20]	r[5, 21]	r[5, 22]	r[5, 23]	r[5, 24]	r[5, 25]	r[5, 26]	r[5, 27]	r[5, 28]	r[5, 29]	r[5, 30]	r[5, 31]
0.29026954	1.3579718	2.7957974	4.2305603	5.4017031	6.3231139	6.8025181	r[6, 8]	r[6, 9]	r[6, 10]	r[6, 11]	r[6, 12]	r[6, 13]	r[6, 14]	r[6, 15]	r[6, 16]	r[6, 17]	r[6, 18]	r[6, 19]	r[6, 20]	r[6, 21]	r[6, 22]	r[6, 23]	r[6, 24]	r[6, 25]	r[6, 26]	r[6, 27]	r[6, 28]	r[6, 29]	r[6, 30]	r[6, 31]
0.21299273	1.0326299	2.2264315	3.5176396	4.7198195	5.6866076	6.4185427	6.8175695	r[7, 9]	r[7, 10]	r[7, 11]	r[7, 12]	r[7, 13]	r[7, 14]	r[7, 15]	r[7, 16]	r[7, 17]	r[7, 18]	r[7, 19]	r[7, 20]	r[7, 21]	r[7, 22]	r[7, 23]	r[7, 24]	r[7, 25]	r[7, 26]	r[7, 27]	r[7, 28]	r[7, 29]	r[7, 30]	r[7, 31]
0.16270386	0.80680229	1.7953901	2.9362819	4.0676431	5.0841938	5.8978931	6.4966072	6.8307192	r[8, 10]	r[8, 11]	r[8, 12]	r[8, 13]	r[8, 14]	r[8, 15]	r[8, 16]	r[8, 17]	r[8, 18]	r[8, 19]	r[8, 20]	r[8, 21]	r[8, 22]	r[8, 23]	r[8, 24]	r[8, 25]	r[8, 26]	r[8, 27]	r[8, 28]	r[8, 29]	r[8, 30]	r[8, 31]
0.12823134	0.64535757	1.4685676	2.463949	3.5059252	4.494615	5.3636531	6.057633	6.5593001	6.8418359	r[9, 11]	r[9, 12]	r[9, 13]	r[9, 14]	r[9, 15]	r[9, 16]	r[9, 17]	r[9, 18]	r[9, 19]	r[9, 20]	r[9, 21]	r[9, 22]	r[9, 23]	r[9, 24]	r[9, 25]	r[9, 26]	r[9, 27]	r[9, 28]	r[9, 29]	r[9, 30]	r[9, 31]
0.10360755	0.52676862	1.2180596	2.0836468	3.0270153	3.9650559	4.832242	5.5832114	6.1813205	6.6093849	6.8510357	r[10, 12]	r[10, 13]	r[10, 14]	r[10, 15]	r[10, 16]	r[10, 17]	r[10, 18]	r[10, 19]	r[10, 20]	r[10, 21]	r[10, 22]	r[10, 23]	r[10, 24]	r[10, 25]	r[10, 26]	r[10, 27]	r[10, 28]	r[10, 29]	r[10, 30]	r[10, 31]
0.085425606	0.43747935	1.0235557	1.7769398	2.6242878	3.497318	4.3388795	5.103696	5.7590442	6.279336	6.6496103	6.8585816	r[11, 13]	r[11, 14]	r[11, 15]	r[11, 16]	r[11, 17]	r[11, 18]	r[11, 19]	r[11, 20]	r[11, 21]	r[11, 22]	r[11, 23]	r[11, 24]	r[11, 25]	r[11, 26]	r[11, 27]	r[11, 28]	r[11, 29]	r[11, 30]	r[11, 31]
0.071627396	0.36876472	0.87041634	1.5283715	2.2868277	3.0907378	3.8909687	4.6466656	5.3251881	5.902075	6.3585445	6.6822648	6.8647745	r[12, 14]	r[12, 15]	r[12, 16]	r[12, 17]	r[12, 18]	r[12, 19]	r[12, 20]	r[12, 21]	r[12, 22]	r[12, 23]	r[12, 24]	r[12, 25]	r[12, 26]	r[12, 27]	r[12, 28]	r[12, 29]	r[12, 30]	r[12, 31]
0.060913133	0.31485437	0.74818513	1.325466	2.0040201	2.7397391	3.4912723	4.2223698	4.9028256	5.5082812	6.0199788	6.4235804	6.7090989	6.8698884	r[13, 15]	r[13, 16]	r[13, 17]	r[13, 18]	r[13, 19]	r[13, 20]	r[13, 21]	r[13, 22]	r[13, 23]	r[13, 24]	r[13, 25]	r[13, 26]	r[13, 27]	r[13, 28]	r[13, 29]	r[13, 30]	r[13, 31]
0.052429967	0.27183573	0.64934955	1.1584832	1.7663327	2.4376076	3.1378472	3.8355573	4.5033167	5.1181558	5.6613797	6.1183087	6.477681	6.7314113	6.8741484	r[14, 16]	r[14, 17]	r[14, 18]	r[14, 19]	r[14, 20]	r[14, 21]	r[14, 22]	r[14, 23]	r[14, 24]	r[14, 25]	r[14, 26]	r[14, 27]	r[14, 28]	r[14, 29]	r[14, 30]	r[14, 31]
