#Pre-reconstruction configuration-space 3-wedges measurements of the DR12 combined sample from Sanchez et al. (2016)
# for 0.4 < z < 0.6
#   s/(Mpc/h)          xi_3w,1       sigma xi_3w,1         xi_3w,2        sigma xi_3w,2        xi_3w,3        sigma xi_3w,3 
 0.250000000E+01   0.490494230E+01   0.376509115E-01   0.491010633E+01   0.390934492E-01   0.649299675E+01   0.487565745E-01
 0.750000000E+01   0.170186088E+01   0.128868169E-01   0.156344618E+01   0.118325155E-01   0.157998382E+01   0.132980564E-01
 0.125000000E+02   0.769345027E+00   0.773800024E-02   0.672532137E+00   0.661316824E-02   0.545219269E+00   0.677862416E-02
 0.175000000E+02   0.420139703E+00   0.556656079E-02   0.357835678E+00   0.469150881E-02   0.255888129E+00   0.485756116E-02
 0.225000000E+02   0.258095153E+00   0.452192628E-02   0.213594730E+00   0.370688422E-02   0.142880487E+00   0.383848388E-02
 0.275000000E+02   0.167820118E+00   0.375011131E-02   0.135210132E+00   0.318123340E-02   0.827739760E-01   0.327941740E-02
 0.325000000E+02   0.117470492E+00   0.320425289E-02   0.882900863E-01   0.275616388E-02   0.492358137E-01   0.293784888E-02
 0.375000000E+02   0.780478022E-01   0.283741728E-02   0.633384392E-01   0.245812408E-02   0.294120498E-01   0.267322333E-02
 0.425000000E+02   0.564429514E-01   0.252672253E-02   0.440494140E-01   0.223001648E-02   0.164071915E-01   0.250368347E-02
 0.475000000E+02   0.420055017E-01   0.234450320E-02   0.328075691E-01   0.204325024E-02   0.747066087E-02   0.228070443E-02
 0.525000000E+02   0.318496621E-01   0.218209110E-02   0.233733328E-01   0.188431833E-02   0.406038104E-02   0.215265378E-02
 0.575000000E+02   0.245870386E-01   0.202633382E-02   0.161829418E-01   0.175087205E-02   0.291408068E-02   0.202297838E-02
 0.625000000E+02   0.212844567E-01   0.188190809E-02   0.129866381E-01   0.163245349E-02   0.118428299E-02   0.189096900E-02
 0.675000000E+02   0.163004172E-01   0.180443255E-02   0.954924155E-02   0.154712636E-02  -0.228704118E-02   0.177061920E-02
 0.725000000E+02   0.127200619E-01   0.168751475E-02   0.630887524E-02   0.147652824E-02  -0.230040221E-02   0.170241142E-02
 0.775000000E+02   0.107288219E-01   0.162343358E-02   0.586847472E-02   0.141089953E-02  -0.250363188E-02   0.163749068E-02
 0.825000000E+02   0.787129943E-02   0.150731859E-02   0.508939210E-02   0.133277014E-02  -0.346095819E-03   0.161952045E-02
 0.875000000E+02   0.736802348E-02   0.144765097E-02   0.575403057E-02   0.126424404E-02  -0.162953888E-02   0.155631270E-02
 0.925000000E+02   0.668778545E-02   0.136205559E-02   0.557735971E-02   0.120965453E-02  -0.159589148E-02   0.146930444E-02
 0.975000000E+02   0.730678084E-02   0.128668314E-02   0.574063243E-02   0.117329863E-02   0.502191417E-03   0.141795716E-02
 0.102500000E+03   0.693151836E-02   0.123301852E-02   0.579929514E-02   0.110479886E-02   0.208358200E-02   0.136182724E-02
 0.107500000E+03   0.565077856E-02   0.118397470E-02   0.560357260E-02   0.108321500E-02   0.189792158E-02   0.128639062E-02
 0.112500000E+03   0.481982999E-02   0.113619458E-02   0.413463561E-02   0.103081929E-02   0.107571669E-02   0.123585420E-02
 0.117500000E+03   0.394374500E-02   0.108160291E-02   0.257929359E-02   0.993959814E-03  -0.445691154E-04   0.119888849E-02
 0.122500000E+03   0.295957927E-02   0.103716561E-02   0.271626294E-02   0.959885995E-03  -0.121224757E-02   0.119128720E-02
 0.127500000E+03   0.326539444E-02   0.100644544E-02   0.125760575E-02   0.932281962E-03  -0.121529775E-02   0.116832845E-02
 0.132500000E+03   0.310950019E-02   0.965723593E-03   0.731519314E-03   0.896020240E-03  -0.172007574E-02   0.114133489E-02
 0.137500000E+03   0.201373764E-02   0.926680767E-03   0.266963353E-03   0.881287206E-03  -0.187700266E-02   0.108908339E-02
 0.142500000E+03   0.223811671E-02   0.912141979E-03   0.107965831E-03   0.865142496E-03  -0.147220263E-02   0.105954149E-02
 0.147500000E+03   0.207569412E-02   0.904048341E-03  -0.859501002E-03   0.842309415E-03  -0.118155574E-02   0.104332957E-02
 0.152500000E+03   0.114348421E-02   0.872267790E-03  -0.347616641E-03   0.827595100E-03  -0.193394380E-02   0.103128735E-02
 0.157500000E+03   0.159370206E-02   0.839413042E-03  -0.280421794E-03   0.808428201E-03  -0.126368365E-02   0.100601234E-02
