#Pre-reconstruction configuration-space 3-wedges measurements of the DR12 combined sample from Sanchez et al. (2016)
# for 0.2 < z < 0.5
#   s/(Mpc/h)          xi_3w,1       sigma xi_3w,1         xi_3w,2        sigma xi_3w,2        xi_3w,3        sigma xi_3w,3 
 0.250000000E+01   0.508129515E+01   0.335487226E-01   0.513697097E+01   0.345642802E-01   0.758898887E+01   0.479903545E-01
 0.750000000E+01   0.175477649E+01   0.128133800E-01   0.162923683E+01   0.118447206E-01   0.175114545E+01   0.130309332E-01
 0.125000000E+02   0.811639460E+00   0.853051586E-02   0.709821065E+00   0.710463629E-02   0.595552059E+00   0.741415159E-02
 0.175000000E+02   0.450209654E+00   0.626564463E-02   0.379534114E+00   0.521302146E-02   0.279438780E+00   0.530877433E-02
 0.225000000E+02   0.274348311E+00   0.502706081E-02   0.224891747E+00   0.412194557E-02   0.154198320E+00   0.439511747E-02
 0.275000000E+02   0.183417946E+00   0.419071252E-02   0.149209327E+00   0.360681912E-02   0.887338451E-01   0.374982623E-02
 0.325000000E+02   0.126147337E+00   0.366328175E-02   0.994566499E-01   0.315633313E-02   0.536832087E-01   0.344939953E-02
 0.375000000E+02   0.906305794E-01   0.323966322E-02   0.704736012E-01   0.276666955E-02   0.312652340E-01   0.315567518E-02
 0.425000000E+02   0.678271336E-01   0.289725312E-02   0.497962516E-01   0.251643157E-02   0.204141437E-01   0.291007571E-02
 0.475000000E+02   0.496881186E-01   0.261509235E-02   0.360644472E-01   0.233763639E-02   0.122689356E-01   0.268034745E-02
 0.525000000E+02   0.378868472E-01   0.243572817E-02   0.265274891E-01   0.215783672E-02   0.736234490E-02   0.251550766E-02
 0.575000000E+02   0.287368566E-01   0.226021101E-02   0.218543797E-01   0.201140054E-02   0.336524534E-02   0.239033165E-02
 0.625000000E+02   0.228038633E-01   0.211712101E-02   0.161795146E-01   0.189653870E-02   0.287532713E-02   0.220208575E-02
 0.675000000E+02   0.187760689E-01   0.196773118E-02   0.121982608E-01   0.178261971E-02   0.452169506E-03   0.210508492E-02
 0.725000000E+02   0.147455071E-01   0.186674418E-02   0.103524235E-01   0.167510421E-02  -0.507845097E-03   0.198922910E-02
 0.775000000E+02   0.126212652E-01   0.179688999E-02   0.744542170E-02   0.158861312E-02  -0.127028972E-02   0.191046977E-02
 0.825000000E+02   0.917384439E-02   0.168039409E-02   0.626032127E-02   0.150271889E-02   0.639006483E-03   0.182979907E-02
 0.875000000E+02   0.765291135E-02   0.162113510E-02   0.574401828E-02   0.143211464E-02   0.186527724E-02   0.175307780E-02
 0.925000000E+02   0.734436950E-02   0.154943153E-02   0.603323674E-02   0.138868882E-02   0.303922708E-02   0.172394961E-02
 0.975000000E+02   0.779039899E-02   0.148510566E-02   0.606566992E-02   0.135042350E-02   0.224945080E-02   0.169867512E-02
 0.102500000E+03   0.738948222E-02   0.142664977E-02   0.589366798E-02   0.131257369E-02   0.320130852E-02   0.166713425E-02
 0.107500000E+03   0.669169258E-02   0.136323854E-02   0.531523666E-02   0.126872057E-02   0.275844513E-02   0.160943056E-02
 0.112500000E+03   0.527184104E-02   0.129949500E-02   0.457351676E-02   0.122563079E-02   0.612482497E-03   0.152841188E-02
 0.117500000E+03   0.318501911E-02   0.125842770E-02   0.328129905E-02   0.117708961E-02  -0.165711256E-02   0.147298121E-02
 0.122500000E+03   0.213604088E-02   0.121189143E-02   0.123884404E-02   0.113908364E-02  -0.217134252E-02   0.141756836E-02
 0.127500000E+03   0.219188452E-02   0.117530314E-02   0.739562607E-03   0.112400083E-02  -0.166879965E-02   0.137899113E-02
 0.132500000E+03   0.280375294E-02   0.117320755E-02   0.120403594E-02   0.110151802E-02  -0.166348766E-02   0.132624306E-02
 0.137500000E+03   0.224084367E-02   0.112738286E-02   0.703971310E-03   0.107772483E-02  -0.237133760E-02   0.130672332E-02
 0.142500000E+03   0.178755125E-02   0.109210344E-02   0.124158918E-02   0.104016022E-02  -0.248023685E-02   0.128875801E-02
 0.147500000E+03   0.168831517E-02   0.105078936E-02   0.118085555E-02   0.101492585E-02  -0.256397142E-02   0.125757737E-02
 0.152500000E+03   0.130828199E-02   0.100821498E-02   0.108788414E-02   0.985815227E-03  -0.196290093E-02   0.123714662E-02
 0.157500000E+03   0.284005829E-03   0.975412209E-03   0.214796214E-02   0.965836240E-03  -0.116096890E-02   0.120221631E-02
